Name,ticker,date,Variable,Value,timehorizon
Goldman Sachs,GS,2021-01-13,Opening Price,300.079987,1Y
Goldman Sachs,GS,2021-01-14,Opening Price,304.049988,1Y
Goldman Sachs,GS,2021-01-15,Opening Price,301.190002,1Y
Goldman Sachs,GS,2021-01-19,Opening Price,305,1Y
Goldman Sachs,GS,2021-01-20,Opening Price,295.820007,1Y
Goldman Sachs,GS,2021-01-21,Opening Price,290.450012,1Y
Goldman Sachs,GS,2021-01-22,Opening Price,286.690002,1Y
Goldman Sachs,GS,2021-01-25,Opening Price,285.529999,1Y
Goldman Sachs,GS,2021-01-26,Opening Price,283.929993,1Y
Goldman Sachs,GS,2021-01-27,Opening Price,276,1Y
Goldman Sachs,GS,2021-01-28,Opening Price,274.609985,1Y
Goldman Sachs,GS,2021-01-29,Opening Price,274.269989,1Y
Goldman Sachs,GS,2021-02-01,Opening Price,272.660004,1Y
Goldman Sachs,GS,2021-02-02,Opening Price,278.320007,1Y
Goldman Sachs,GS,2021-02-03,Opening Price,286.609985,1Y
Goldman Sachs,GS,2021-02-04,Opening Price,290,1Y
Goldman Sachs,GS,2021-02-05,Opening Price,295,1Y
Goldman Sachs,GS,2021-02-08,Opening Price,295,1Y
Goldman Sachs,GS,2021-02-09,Opening Price,299.600006,1Y
Goldman Sachs,GS,2021-02-10,Opening Price,300,1Y
Goldman Sachs,GS,2021-02-11,Opening Price,303.980011,1Y
Goldman Sachs,GS,2021-02-12,Opening Price,301.98999,1Y
Goldman Sachs,GS,2021-02-16,Opening Price,310,1Y
Goldman Sachs,GS,2021-02-17,Opening Price,310.029999,1Y
Goldman Sachs,GS,2021-02-18,Opening Price,309.220001,1Y
Goldman Sachs,GS,2021-02-19,Opening Price,310.230011,1Y
Goldman Sachs,GS,2021-02-22,Opening Price,313,1Y
Goldman Sachs,GS,2021-02-23,Opening Price,317.980011,1Y
Goldman Sachs,GS,2021-02-24,Opening Price,320.170013,1Y
Goldman Sachs,GS,2021-02-25,Opening Price,333.329987,1Y
Goldman Sachs,GS,2021-02-26,Opening Price,325.769989,1Y
Goldman Sachs,GS,2021-03-01,Opening Price,325,1Y
Goldman Sachs,GS,2021-03-02,Opening Price,330,1Y
Goldman Sachs,GS,2021-03-03,Opening Price,333.679993,1Y
Goldman Sachs,GS,2021-03-04,Opening Price,333.130005,1Y
